pfam_id,protein_id,description,start,stop
PF01154,A0A178AVF0,Hydroxymethylglutaryl-coenzyme A synthase N-terminal,4,177
PF07717,A0A178AW33,Domain of unknown function DUF1605,1031,1176
PF00067,A0A178AY01,Cytochrome P450,37,499
PF00069,A0A178B405,Protein kinase domain,457,747
mobidb-lite,A0A178B479,disorder_prediction,219,251
mobidb-lite,A0A178B6N5,disorder_prediction,413,436
mobidb-lite,A0A178BK55,disorder_prediction,477,542
PF04909,A0A178BN00,Amidohydrolase-related,4,330
PF01266,A0A178BQQ9,FAD dependent oxidoreductase,60,460
mobidb-lite,A0A178BSB8,disorder_prediction,198,217
mobidb-lite,A0A178BSQ0,disorder_prediction,1162,1187
mobidb-lite,A0A178BYV3,disorder_prediction,1,50
PF02347,A0A178CCS7,Glycine cleavage system P protein,570,825
PF01084,A0A178CFV1,Ribosomal protein S18,102,147
PF09334,A0A178CJ10,Methionyl/Leucyl tRNA synthetase,15,406
mobidb-lite,A0A178CJX3,disorder_prediction,1,69
mobidb-lite,A0A178CP14,disorder_prediction,230,391
PF03807,A0A178CQY5,Pyrroline-5-carboxylate reductase catalytic N-terminal,11,117
CoiledCoil,A0A178CR44,Kinesin-like protein OS=Fonsecaea multimorphosa GN=AYO22_00787 PE=3 SV=1,496,517
PF04099,A0A178CS73,Trafficking protein particle complex subunit,36,211
mobidb-lite,A0A178D069,disorder_prediction,359,412
mobidb-lite,A0A178D1T1,disorder_prediction,1,20
PF00067,A0A178D5K0,Cytochrome P450,74,515
PF01266,A0A178D927,FAD dependent oxidoreductase,11,391
PF07690,A0A178D9Q9,Major facilitator superfamily,60,464
mobidb-lite,A0A178DBU8,disorder_prediction,401,434
mobidb-lite,A0A178DET7,disorder_prediction,1,51
PF02219,A0A178DGL1,Methylenetetrahydrofolate reductase,13,310
mobidb-lite,A0A178DIX9,disorder_prediction,1,23
PF02714,A0A178DP13,Calcium-dependent channel 7TM region putative phosphate,392,666
mobidb-lite,A0A178DSU6,disorder_prediction,1,109
mobidb-lite,A0A178DYG3,disorder_prediction,94,166
PF00248,A0A178E2X0,NADP-dependent oxidoreductase domain,40,351
PF00153,A0A178E9P5,Mitochondrial substrate/solute carrier,235,322
mobidb-lite,A0A178EBS2,disorder_prediction,1,63
PF12796,A0A178EBU2,Ankyrin repeat-containing domain,88,156
PF02913,A0A178EMD4,FAD-linked oxidase C-terminal,302,545
PF00806,A0A178ES62,Pumilio RNA-binding repeat,616,643
CoiledCoil,A0A178ESB1,Uncharacterized protein OS=Trichophyton rubrum GN=A7C99_5327 PE=4 SV=1,1365,1393
PF05192,A0A178EUW2,DNA mismatch repair protein MutS core,299,603
PF12234,A0A178EV29,RAVE complex protein Rav1 C-terminal,1148,1786
PF09350,A0A178EXI5,DnaJ homologue subfamily C member 28 conserved domain,239,310
mobidb-lite,A0A178EZY8,disorder_prediction,249,372
mobidb-lite,A0A178F2A7,disorder_prediction,286,322
PF07717,A0A178F878,Domain of unknown function DUF1605,821,914
PF00300,A0A178F8B8,Histidine phosphatase superfamily clade-1,7,234
mobidb-lite,A0A178FHU1,disorder_prediction,848,1002
PF02112,A0A178FKK8,Cyclic-AMP phosphodiesterase class-II,529,577
mobidb-lite,A0A178FPW7,disorder_prediction,1,35
PF02362,A0A178UA83,B3 DNA binding domain,31,113
mobidb-lite,A0A178UAA8,disorder_prediction,171,198
mobidb-lite,A0A178UD49,disorder_prediction,525,564
PF13041,A0A178UE02,Pentatricopeptide repeat,383,429
PF05634,A0A178UKG3,APO domain,264,387
mobidb-lite,A0A178UMQ5,disorder_prediction,84,110
mobidb-lite,A0A178UNV9,disorder_prediction,485,512
mobidb-lite,A0A178UU18,disorder_prediction,216,242
mobidb-lite,A0A178V2E1,disorder_prediction,512,584
mobidb-lite,A0A178V8Q3,disorder_prediction,313,342
PF12624,A0A178V901,Vacuolar protein sorting-associated protein 13 N-terminal domain,21,128
PF01535,A0A178VB88,Pentatricopeptide repeat,302,328
PF01535,A0A178VKA0,Pentatricopeptide repeat,370,395
PF01535,A0A178VNZ4,Pentatricopeptide repeat,98,127
PF12348,A0A178VPD0,CLASP N-terminal domain,793,990
PF00076,A0A178VV53,RNA recognition motif domain,13,39
PF00623,A0A178VWE9,RNA polymerase alpha subunit,321,475
PF00637,A0A178W925,Clathrin heavy chain/VPS 7-fold repeat,593,745
PF16131,A0A178WG41,Torus domain,151,194
PF06624,A0A178Z5D1,Stress-associated endoplasmic reticulum protein,2,63
PF00320,A0A178Z963,Zinc finger GATA-type,20,53
mobidb-lite,A0A178ZEE5,disorder_prediction,76,103
PF00067,A0A178ZFC9,Cytochrome P450,54,501
mobidb-lite,A0A178ZHI0,disorder_prediction,363,382
PF07690,A0A178ZJ00,Major facilitator superfamily,59,461
PF08512,A0A178ZM62,Domain of unknown function DUF1747,246,347
PF09180,A0A178ZUY8,Proline-tRNA ligase class II C-terminal,485,576
mobidb-lite,A0A178ZV44,disorder_prediction,220,253
PF00787,A0A178ZWK9,Phox homologous domain,95,195
PF16891,A0A178ZWU3,Serine-threonine protein phosphatase N-terminal,9,56
PF07859,A0A178ZXF7,Alpha/beta hydrolase fold-3,116,339
mobidb-lite,A0A179FJZ1,disorder_prediction,640,661
PF00501,A0A179GCW8,AMP-dependent synthetase/ligase,348,444
PF05686,A0A179GE63,Lipopolysaccharide-modifying protein,471,589
PF07859,A0A179GGN9,Alpha/beta hydrolase fold-3,84,290
PF08689,A0A179GIC8,Mediator complex subunit Med5 fungi,54,932
mobidb-lite,A0A179GM11,disorder_prediction,1,90
PF00198,A0A179GXK1,2-oxoacid dehydrogenase acyltransferase catalytic domain,262,501
PF08389,A0A179H5L0,Exportin-1/Importin-beta-like,106,262
PF00172,A0A179H5R9,Zn(2)-C6 fungal-type DNA-binding domain,10,43
mobidb-lite,A0A179H683,disorder_prediction,21,102
mobidb-lite,A0A179HC36,disorder_prediction,1,78
mobidb-lite,A0A179HD30,disorder_prediction,1,98
PF02852,A0A179HDT0,Pyridine nucleotide-disulphide oxidoreductase dimerisation domain,356,467
PF00324,A0A179HES6,Amino acid permease/ SLC12A domain,130,593
PF00270,A0A179HL95,DEAD/DEAH box helicase domain,125,295
PF01287,A0A179HYI9,Translation elongation factor IF5A C-terminal,85,154
PF00996,A0A179HZV9,GDP dissociation inhibitor,6,452
mobidb-lite,A0A179I2V1,disorder_prediction,700,758
mobidb-lite,A0A179I4U8,disorder_prediction,164,199
PF10447,A0A179IDI7,Exosome complex component CSL4,115,155
mobidb-lite,A0A179IEX1,disorder_prediction,27,50
PF01565,A0A179IFE3,FAD linked oxidase N-terminal,121,256
PF01138,A0A179INB0,Exoribonuclease phosphorolytic domain 1,12,138
PF00431,A0A182DZU1,CUB domain,78,170
PF00102,A0A182E0K7,PTP type protein phosphatase,333,478
PF01663,A0A182E770,Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase,71,126
PF08449,A0A182E8T5,UAA transporter,34,159
PF16002,A0A182E960,Headcase middle domain,75,229
PF02826,A0A182EBT6,D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding domain,399,572
PF01585,A0A182EDJ9,G-patch domain,76,122
PF00317,A0A182EF58,Ribonucleotide reductase large subunit N-terminal,152,193
PF03564,A0A182ETE7,Protein of unknown function DUF1759,37,186
PF00520,A0A182F5V3,Ion transport domain,347,540
PF01607,A0A182F7D0,Chitin binding domain,13,68
PF00433,A0A182F7G5,Protein kinase C-terminal,470,507
PF02104,A0A182FFE3,Surfeit locus 1/Shy1,733,945
mobidb-lite,A0A182FFM9,disorder_prediction,145,165
PF08547,A0A182FJK0,NADH:ubiquinone oxidoreductase intermediate-associated protein 30,155,330
PF00458,A0A182FL30,WHEP-TRS domain,1698,1748
PF00368,A0A182FPY6,Hydroxymethylglutaryl-CoA reductase class I/II,446,822
CoiledCoil,A0A182FSG6,Histone-lysine N-methyltransferase H3 lysine-79 specific OS=Anopheles albimanus PE=3 SV=1,651,672
mobidb-lite,A0A182G414,disorder_prediction,409,438
CoiledCoil,A0A182GHS0,Uncharacterized protein OS=Aedes albopictus PE=4 SV=1,283,304
PF00400,A0A182GHW5,WD40 repeat,338,365
mobidb-lite,A0A182H131,disorder_prediction,697,797
PF12816,A0A182H296,Vacuolar protein sorting-associated protein 8 central domain,560,732
PF00621,A0A182H4E7,Dbl homology (DH) domain,342,520
PF00098,A0A182H4J8,Zinc finger CCHC-type,262,278
PF00059,A0A182H4T2,C-type lectin-like,96,159
mobidb-lite,A0A182H564,disorder_prediction,894,921
PF00089,A0A182H7S5,Serine proteases trypsin domain,157,387
mobidb-lite,A0A182HDE4,disorder_prediction,349,448
PF08516,A0A182HJZ1,ADAM cysteine-rich,545,642
PF00432,A0A182HLP8,PFTB repeat,110,149
PF01422,A0A182HME5,Zinc finger NF-X1-type,1052,1063
PF01607,A0A182HRT8,Chitin binding domain,217,263
PF00565,A0A182HWQ7,Staphylococcal nuclease (SNase-like) OB-fold,386,489
PF16086,A0A182I0U1,Protein of unknown function DUF4816,102,144
PF00616,A0A182I0Z1,Ras GTPase-activating protein,181,257
PF01607,A0A182I5M8,Chitin binding domain,24,69
PF00057,A0A182I5N1,Low-density lipoprotein (LDL) receptor class A repeat,98,134
PF04710,A0A182ID98,Pellino family,1,299
PF00089,A0A182IG92,Serine proteases trypsin domain,103,335
PF03937,A0A182IPG5,Flavinator of succinate dehydrogenase,71,143
PF11976,A0A182IPG7,Rad60/SUMO-like domain,84,153
mobidb-lite,A0A182IQN6,disorder_prediction,356,424
PF00549,A0A182IRZ2,ATP-citrate lyase/succinyl-CoA ligase,298,418
PF01344,A0A182ISK3,Kelch repeat type 1,547,591
PF00102,A0A182ISY5,PTP type protein phosphatase,1305,1534
PF00595,A0A182IY60,PDZ domain,1316,1389
mobidb-lite,A0A182J008,disorder_prediction,1,20
CoiledCoil,A0A182J432,Uncharacterized protein OS=Anopheles atroparvus PE=3 SV=1,326,347
PF13202,A0A182J4M9,EF-hand domain,231,248
PF10250,A0A182JDE3,GDP-fucose protein O-fucosyltransferase,1015,1357
PF12796,A0A182JF29,Ankyrin repeat-containing domain,66,146
PF13516,A0A182JII4,Leucine-rich repeat,176,195
PF04500,A0A182JMT6,Zinc finger FLYWCH-type,542,600
PF08395,A0A182JMX1,7TM chemoreceptor,29,423
PF10436,A0A182JS98,Branched-chain alpha-ketoacid dehydrogenase kinase/Pyruvate dehydrogenase kinase N-terminal,35,151
PF01400,A0A182JSL0,Peptidase M12A,242,437
mobidb-lite,A0A182JT16,disorder_prediction,1972,2065
PF00651,A0A182JT29,BTB/POZ domain,6,98
mobidb-lite,A0A182K532,disorder_prediction,370,417
mobidb-lite,A0A182K5I5,disorder_prediction,2346,2395
PF01607,A0A182K9J3,Chitin binding domain,322,362
PF00641,A0A182KBV2,Zinc finger RanBP2-type,311,335
PF06916,A0A182KF59,Domain of unknown function DUF1279,125,210
mobidb-lite,A0A182KMM8,disorder_prediction,270,336
mobidb-lite,A0A182KRI5,disorder_prediction,389,687
PF08190,A0A182KTT3,PIH1 domain,258,314
PF01133,A0A182L870,Enhancer of rudimentary,201,297
PF14843,A0A182LG65,Growth factor receptor domain 4,546,654
PF00400,A0A182LM13,WD40 repeat,439,473
PF12937,A0A182LPS8,F-box domain,13,44
mobidb-lite,A0A182LRN5,disorder_prediction,1374,1466
PF00642,A0A182LS63,Zinc finger CCCH-type,152,176
PF01956,A0A182LXX3,Integral membrane protein EMC3/TMCO1-like,6,162
PF04567,A0A182M006,RNA polymerase Rpb2 domain 5,621,662
mobidb-lite,A0A182MAP2,disorder_prediction,303,346
mobidb-lite,A0A182MBG0,disorder_prediction,233,288
PF01757,A0A182ME42,Acyltransferase 3,323,708
mobidb-lite,A0A182MG91,disorder_prediction,274,298
mobidb-lite,A0A182MHQ0,disorder_prediction,128,152
mobidb-lite,A0A182MIR2,disorder_prediction,225,346
PF00028,A0A182MNG6,Cadherin,2066,2158
PF00134,A0A182MRM7,Cyclin N-terminal,399,523
mobidb-lite,A0A182MSG5,disorder_prediction,2933,2958
PF12937,A0A182N7H8,F-box domain,189,238
PF03357,A0A182N952,Snf7 family,570,739
mobidb-lite,A0A182NB96,disorder_prediction,211,231
mobidb-lite,A0A182NBT2,disorder_prediction,492,551
PF14538,A0A182NNX7,Raptor N-terminal CASPase-like domain,51,202
PF00400,A0A182NUE6,WD40 repeat,47,83
PF13855,A0A182NVR4,Leucine-rich repeat,83,140
PF00400,A0A182P2B8,WD40 repeat,189,220
mobidb-lite,A0A182P597,disorder_prediction,1,243
PF01773,A0A182P5K3,Concentrative nucleoside transporter N-terminal domain,771,842
PF01826,A0A182P748,Trypsin Inhibitor-like cysteine rich domain,38,93
PF01576,A0A182P7S5,Myosin tail,1148,1546
LowComplexity,A0A182PBA6,Uncharacterized protein OS=Anopheles epiroticus PE=4 SV=1,60,74
PF06320,A0A182PC19,Biogenesis of lysosome-related organelles complex 1 subunit 1,5,117
mobidb-lite,A0A182PIU3,disorder_prediction,334,362
PF03723,A0A182PJY2,Hemocyanin C-terminal,420,678
PF00609,A0A182PNQ9,Diacylglycerol kinase accessory domain,252,405
CoiledCoil,A0A182PPF8,Uncharacterized protein OS=Anopheles epiroticus PE=4 SV=1,1020,1041
PF07992,A0A182PQ49,FAD/NAD(P)-binding domain,38,379
PF14413,A0A182PUK7,Thg1 C-terminal domain,206,324
CoiledCoil,A0A182PUY8,Uncharacterized protein OS=Anopheles epiroticus PE=4 SV=1,791,812
mobidb-lite,A0A182Q096,disorder_prediction,378,412
mobidb-lite,A0A182Q1T6,disorder_prediction,457,486
PF00778,A0A182Q2U6,DIX domain,30,108
PF00089,A0A182Q6V4,Serine proteases trypsin domain,1010,1246
PF01966,A0A182QFF5,HD domain,54,182
mobidb-lite,A0A182QKH0,disorder_prediction,1,78
mobidb-lite,A0A182QKN5,disorder_prediction,827,907
CoiledCoil,A0A182QM56,Uncharacterized protein OS=Anopheles farauti PE=4 SV=1,28,49
mobidb-lite,A0A182QQ97,disorder_prediction,18,37
PF02017,A0A182QWK9,CIDE-N domain,6,79
PF12796,A0A182QYF5,Ankyrin repeat-containing domain,296,372
mobidb-lite,A0A182R4T4,disorder_prediction,680,778
PF07690,A0A182R583,Major facilitator superfamily,14,416
PF01112,A0A182R5D6,Peptidase T2 asparaginase 2,34,332
mobidb-lite,A0A182R8H3,disorder_prediction,1,30
PF00400,A0A182RCF9,WD40 repeat,836,868
PF13855,A0A182RMZ2,Leucine-rich repeat,1653,1713
PF12583,A0A182RQ43,Peptidase S8A tripeptidyl peptidase II arthropoda,1100,1226
PF05210,A0A182RSV5,Sprouty,267,368
PF00454,A0A182RUL2,Phosphatidylinositol 3-/4-kinase catalytic domain,1458,1668
PF00505,A0A182RXD4,High mobility group box domain,78,146
PF07690,A0A182RZ03,Major facilitator superfamily,67,196
PF01607,A0A182SK29,Chitin binding domain,408,460
PF06733,A0A182T412,DEAD2,72,254
PF00089,A0A182T678,Serine proteases trypsin domain,27,191
PF00676,A0A182T6P5,Dehydrogenase E1 component,48,341
PF13855,A0A182T8G6,Leucine-rich repeat,46,103
PF04818,A0A182T9I8,RNA polymerase II-binding domain,75,133
PF00498,A0A182TD46,Forkhead-associated (FHA) domain,181,249
PF01951,A0A182TDK1,Archease domain,17,157
PF00089,A0A182TJK8,Serine proteases trypsin domain,56,283
PF11878,A0A182TK00,Dedicator of cytokinesis C/D N-terminal,61,155
PF08564,A0A182TKX0,Cdc37 C-terminal,287,372
mobidb-lite,A0A182TLI9,disorder_prediction,1189,1208
mobidb-lite,A0A182TNA9,disorder_prediction,231,266
PF12796,A0A182TT74,Ankyrin repeat-containing domain,572,651
PF01395,A0A182TTY7,Pheromone/general odorant binding protein,31,140
PF08625,A0A182TU51,Small-subunit processome Utp13,652,783
PF01026,A0A182TUJ7,TatD family,16,254
PF01588,A0A182TXY3,tRNA-binding domain,385,477
mobidb-lite,A0A182U4U9,disorder_prediction,530,551
PF00153,A0A182UC17,Mitochondrial substrate/solute carrier,251,328
PF01607,A0A182UET9,Chitin binding domain,128,179
PF09468,A0A182UJ17,Ribonuclease H2 subunit B,17,283
PF01061,A0A182UL58,ABC-2 type transporter,284,491
mobidb-lite,A0A182UQW5,disorder_prediction,434,471
mobidb-lite,A0A182URI3,disorder_prediction,259,306
PF00630,A0A182UST7,Filamin/ABP280 repeat-like,35,134
PF02807,A0A182UTR9,ATP:guanido phosphotransferase N-terminal,110,181
PF09032,A0A182UY46,Siah interacting protein N-terminal,41,116
mobidb-lite,A0A182UZJ8,disorder_prediction,129,187
PF03189,A0A182UZQ6,Otopetrin,246,686
mobidb-lite,A0A182V7T8,disorder_prediction,209,236
PF00435,A0A182VAS0,Spectrin repeat,420,521
PF13499,A0A182VBS8,EF-hand domain,130,198
mobidb-lite,A0A182VEG8,disorder_prediction,494,531
PF06565,A0A182VIB5,Domain of unknown function DUF1126,419,517
PF03357,A0A182VS48,Snf7 family,18,186
mobidb-lite,A0A182VVF3,disorder_prediction,1410,1442
LowComplexity,A0A182VY46,Uncharacterized protein OS=Anopheles minimus PE=4 SV=1,455,468
mobidb-lite,A0A182W2P2,disorder_prediction,2630,2654
mobidb-lite,A0A182W5I0,disorder_prediction,1560,1627
PF00003,A0A182WFF5,GPCR family 3 C-terminal,9,106
mobidb-lite,A0A182WHB4,disorder_prediction,155,202
PF00525,A0A182WJV2,Alpha-crystallin N-terminal,19,53
mobidb-lite,A0A182WU19,disorder_prediction,675,705
PF01582,A0A182WZS1,Toll/interleukin-1 receptor homology (TIR) domain,1086,1186
PF07679,A0A182X1I2,Immunoglobulin I-set,615,678
mobidb-lite,A0A182X5J0,disorder_prediction,5540,5591
PF01422,A0A182XD15,Zinc finger NF-X1-type,810,827
PF00751,A0A182XFF2,DM DNA-binding domain,38,83
PF00076,A0A182XHJ3,RNA recognition motif domain,643,707
mobidb-lite,A0A182XM06,disorder_prediction,54,103
LowComplexity,A0A182XMA5,Uncharacterized protein OS=Anopheles quadriannulatus PE=4 SV=1,330,345
PF13417,A0A182XUK7,Glutathione S-transferase N-terminal,6,82
PF03564,A0A182XV70,Protein of unknown function DUF1759,4,66
LowComplexity,A0A182XZL0,Uncharacterized protein OS=Anopheles stephensi PE=4 SV=1,579,591
PF00153,A0A182Y5K9,Mitochondrial substrate/solute carrier,231,319
mobidb-lite,A0A182Y6U7,disorder_prediction,3822,3841
PF02879,A0A182YEF1,Alpha-D-phosphohexomutase alpha/beta/alpha domain II,205,298
mobidb-lite,A0A182YF66,disorder_prediction,452,516
mobidb-lite,A0A182YGU7,disorder_prediction,1711,1868
mobidb-lite,A0A182YH47,disorder_prediction,1,115
mobidb-lite,A0A182YHA5,disorder_prediction,768,835
mobidb-lite,A0A182YMN8,disorder_prediction,105,139
PF00028,A0A182YNX1,Cadherin,777,864
mobidb-lite,A0A182YP16,disorder_prediction,1496,1526
mobidb-lite,A0A182YQ42,disorder_prediction,492,512
PF03034,A0A182YRI9,Phosphatidyl serine synthase,111,385
PF03850,A0A182YS18,TFIIH subunit Tfb4/p34,8,128
PF13180,A0A182YTK8,PDZ domain,347,438
PF00085,A0A182YTW8,Thioredoxin domain,5,78
PF07527,A0A182YXM3,Orange domain,117,155
PF03351,A0A182Z865,DOMON domain,137,233
PF00271,A0A182ZEM6,Helicase C-terminal,316,424
PF00105,A0A182ZRA4,Zinc finger nuclear hormone receptor-type,82,105
mobidb-lite,A0A182ZRZ7,disorder_prediction,439,617
PF01599,A0A182ZXB1,Ribosomal protein S27a,40,79
PF12146,A0A183A1D8,Serine aminopeptidase S33,11,83
PF00282,A0A183A8X2,Pyridoxal phosphate-dependent decarboxylase,16,151
PF02493,A0A183A959,MORN motif,100,110
mobidb-lite,A0A183A9N0,disorder_prediction,365,395
mobidb-lite,A0A183AAS0,disorder_prediction,873,941
PF13639,A0A183AEW8,Zinc finger RING-type,1155,1197
mobidb-lite,A0A183AFF4,disorder_prediction,456,475
PF02171,A0A183AK89,Piwi domain,2,134
PF02493,A0A183ANU9,MORN motif,104,124
PF02176,A0A183AT05,Zinc finger TRAF-type,56,115
PF02878,A0A183AX44,Alpha-D-phosphohexomutase alpha/beta/alpha domain I,26,81
mobidb-lite,A0A183AZU2,disorder_prediction,73,126
mobidb-lite,A0A183BX04,disorder_prediction,436,473
mobidb-lite,A0A183BX06,disorder_prediction,122,168
PF00514,A0A183C4J1,Armadillo,202,228
PF03357,A0A183CLP0,Snf7 family,20,185
PF05631,A0A183CS52,Molybdate-anion transporter,2,49
PF07679,A0A183D3Z8,Immunoglobulin I-set,21,93
PF00001,A0A183D6K7,G protein-coupled receptor rhodopsin-like,6,85
PF03782,A0A183DJI4,AMOP domain,113,164
CoiledCoil,A0A183DR43,Uncharacterized protein OS=Gongylonema pulchrum PE=4 SV=1,321,342
PF08512,A0A183E334,Domain of unknown function DUF1747,54,141
PF00226,A0A183E4X8,DnaJ domain,4,40
PF15086,A0A183E8S8,Small integral membrane protein 15,8,54
PF00188,A0A183EGM6,CAP domain,37,107
PF00071,A0A183EPU7,Small GTPase superfamily,28,89
PF00083,A0A183EU91,Major facilitator  sugar transporter-like,42,145
PF00632,A0A183EVP1,HECT domain,1,129
mobidb-lite,A0A183H0N7,disorder_prediction,680,708
PF00194,A0A183H3P3,Alpha carbonic anhydrase,25,311
PF01391,A0A183H3S3,Collagen triple helix repeat,152,210
mobidb-lite,A0A183H8E5,disorder_prediction,16,36
PF09606,A0A183HGM2,Mediator of RNA polymerase II transcription subunit 15,14,78
mobidb-lite,A0A183ICN9,disorder_prediction,1,58
PF03522,A0A183IDG9,SLC12A transporter C-terminal,800,865
mobidb-lite,A0A183IGN3,disorder_prediction,488,532
PF10345,A0A183IV17,Chromatid cohesion factor MAU2,11,149
PF01390,A0A183IWI6,SEA domain,728,791
PF05175,A0A183IXE8,Methyltransferase small domain,19,111
PF06068,A0A183JBT7,TIP49 C-terminal,1,289
PF00857,A0A183JWG7,Isochorismatase-like,9,142
PF06367,A0A183K393,Formin FH3 domain,261,390
mobidb-lite,A0A183K7W6,disorder_prediction,1611,1714
PF03357,A0A183KSY4,Snf7 family,15,76
CoiledCoil,A0A183KWH8,Uncharacterized protein OS=Schistosoma curassoni PE=4 SV=1,283,304
PF00001,A0A183L8X8,G protein-coupled receptor rhodopsin-like,98,333
mobidb-lite,A0A183L8Z6,disorder_prediction,1,28
PF01437,A0A183LIY1,Plexin repeat,362,422
PF01201,A0A183LRS3,Ribosomal protein S8e/ribosomal biogenesis NSA2,39,193
PF16028,A0A183M5S1,Solute carrier family 3 member 2 N-terminal domain,65,136
PF01483,A0A183MNB8,Proprotein convertase P,530,618
PF12777,A0A183MNN3,Dynein heavy chain coiled coil stalk,1044,1280
PF00439,A0A183MQH9,Bromodomain,621,689
mobidb-lite,A0A183MSB5,disorder_prediction,1112,1134
mobidb-lite,A0A183ND35,disorder_prediction,73,103
mobidb-lite,A0A183ND45,disorder_prediction,783,839
PF00917,A0A183NGN5,MATH/TRAF domain,5,103
PF13936,A0A183NN30,Transposase IS30-like HTH domain,11,50
PF08385,A0A183NSS2,Dynein heavy chain domain-1,180,616
PF07885,A0A183NZD2,Potassium channel domain,15,52
PF12416,A0A183P1S1,Domain of unknown function DUF3668,29,173
mobidb-lite,A0A183P4H4,disorder_prediction,465,489
PF02798,A0A183PEX6,Glutathione S-transferase N-terminal,1,56
PF00069,A0A183PLD9,Protein kinase domain,3,45
PF01709,A0A183PM42,Transcriptional regulator TACO1-like,133,247
PF01534,A0A183QKN8,Frizzled protein,167,294
mobidb-lite,A0A183QLU4,disorder_prediction,491,519
mobidb-lite,A0A183QS52,disorder_prediction,193,243
PF01432,A0A183QSV2,Peptidase M3A/M3B catalytic domain,205,660
LowComplexity,A0A183QWJ4,Uncharacterized protein OS=Schistosoma rodhaini PE=4 SV=1,15,30
PF00069,A0A183RJ66,Protein kinase domain,19,129
PF00501,A0A183RPY0,AMP-dependent synthetase/ligase,26,268
PF03131,A0A183RVA9,Basic leucine zipper domain Maf-type,5,69
mobidb-lite,A0A183T2G3,disorder_prediction,190,423
PF00665,A0A183TZP5,Integrase catalytic core,454,548
mobidb-lite,A0A183U2E8,disorder_prediction,78,137
PF00001,A0A183U2R6,G protein-coupled receptor rhodopsin-like,2,198
PF03850,A0A183U4K0,TFIIH subunit Tfb4/p34,2,95
PF00169,A0A183ULM2,Pleckstrin homology domain,27,104
PF13336,A0A183ULU5,Acetyl-CoA hydrolase/transferase C-terminal domain,207,361
PF03782,A0A183UNL2,AMOP domain,719,895
PF09762,A0A183UNU8,Coiled-coil domain of unkwon function DUF2037,28,205
PF01391,A0A183UPI4,Collagen triple helix repeat,1382,1439
mobidb-lite,A0A183UTC8,disorder_prediction,765,815
PF00106,A0A183UTY1,Short-chain dehydrogenase/reductase SDR,71,221
PF00079,A0A183UZG1,Serpin domain,180,337
PF01694,A0A183V4Q9,Peptidase S54 rhomboid domain,106,240
mobidb-lite,A0A183V9A7,disorder_prediction,30,62
LowComplexity,A0A183VBB5,Uncharacterized protein OS=Toxocara canis PE=4 SV=1,35,47
PF00435,A0A183VTC2,Spectrin repeat,194,298
mobidb-lite,A0A183W9H4,disorder_prediction,621,648
mobidb-lite,A0A183WI41,disorder_prediction,157,178
PF14779,A0A183WLT9,Bardet-Biedl syndrome 1 N-terminal,25,199
PF01704,A0A183X373,UDPGP family,1,72
PF00076,A0A183XC85,RNA recognition motif domain,435,505
PF01166,A0A183XFR8,TSC-22 / Dip / Bun,67,121
PF04136,A0A183XJY5,Conserved oligomeric Golgi complex subunit 3,28,134
PF05871,A0A183XKZ1,ESCRT-II complex vps25 subunit,9,137
PF04109,A0A183XND8,Autophagy-related protein 9,124,473
PF01265,A0A183XTR1,Cytochrome c/c1 haem-lyase,8,250
PF01697,A0A183XVI1,Glycosyltransferase family 92,139,206
mobidb-lite,A0A183XWB8,disorder_prediction,146,166
PF00646,A0A183Y142,F-box domain,78,110
PF05424,A0A188QR78,Duffy-antigen binding,10,106
PF02786,A0A190DE75,Carbamoyl-phosphate synthetase large subunit-like ATP-binding domain,219,319
PF00033,A0A190RVY7,Cytochrome b/b6 N-terminal,23,208
PF00410,A0A191LJK5,Ribosomal protein S8,4,132
PF00164,A0A191T5E5,Ribosomal protein S12/S23,11,123
PF01578,A0A191T689,Cytochrome c assembly protein,69,315
mobidb-lite,A0A191VNT6,disorder_prediction,1,24
PF00507,A0A191VWY5,NADH:ubiquinone/plastoquinone oxidoreductase chain 3,24,119
PF00116,A0A191ZRT1,Cytochrome c oxidase subunit II-like C-terminal,95,214
PF00361,A0A192A8T4,NADH:quinone oxidoreductase/Mrp antiporter membrane subunit,9,273
PF00115,A0A192AL57,Cytochrome c oxidase subunit I,1,207
PF00006,A0A192ID85,ATPase F1/V1/A1 complex alpha/beta subunit nucleotide-binding domain,150,365
PF12838,A0A192ZII6,4Fe-4S ferredoxin-type iron-sulphur binding domain,169,221
PF00115,A0A193B4M1,Cytochrome c oxidase subunit I,3,179
PF00115,A0A193BF71,Cytochrome c oxidase subunit I,1,178
PF03118,A0A193D7Q3,RNA polymerase alpha subunit C-terminal,263,312
PF00115,A0A193DKZ4,Cytochrome c oxidase subunit I,2,186
PF00088,A0A193KVT4,P-type trefoil domain,56,91
mobidb-lite,A0A194PL14,disorder_prediction,484,503
PF04050,A0A194PMU8,Up-frameshift suppressor 2,941,1058
PF14844,A0A194PVV7,PH-BEACH domain,1650,1747
PF00431,A0A194PWI1,CUB domain,216,335
mobidb-lite,A0A194PX18,disorder_prediction,147,180
PF00083,A0A194Q094,Major facilitator  sugar transporter-like,44,232
mobidb-lite,A0A194Q1V9,disorder_prediction,292,323
PF00561,A0A194Q1W8,Alpha/beta hydrolase fold-1,45,149
